ID,Pred
2019_Abilene Chr_Arizona St,0.1925538311
2019_Abilene Chr_Auburn,0.0705973256
2019_Abilene Chr_Baylor,0.1900582048
2019_Abilene Chr_Belmont,0.3222682158
2019_Abilene Chr_Bradley,0.5193798981
2019_Abilene Chr_Buffalo,0.0955958257
2019_Abilene Chr_Cincinnati,0.1215474659
2019_Abilene Chr_Colgate,0.4594091387
2019_Abilene Chr_Duke,0.0262015312
2019_Abilene Chr_F Dickinson,0.7322163004
2019_Abilene Chr_Florida,0.1390879448
2019_Abilene Chr_Florida St,0.0533203269
2019_Abilene Chr_Gardner Webb,0.5901014975
2019_Abilene Chr_Georgia St,0.3717712708
2019_Abilene Chr_Gonzaga,0.0471941018
2019_Abilene Chr_Houston,0.0718096385
2019_Abilene Chr_Iona,0.7548938948
2019_Abilene Chr_Iowa,0.1222333965
2019_Abilene Chr_Iowa St,0.0967709552
2019_Abilene Chr_Kansas,0.0610056687
2019_Abilene Chr_Kansas St,0.0824755479
2019_Abilene Chr_Kentucky,0.0483111877
2019_Abilene Chr_Liberty,0.3249285991
2019_Abilene Chr_Louisville,0.1083541552
2019_Abilene Chr_LSU,0.0754375537
2019_Abilene Chr_Marquette,0.1044057419
2019_Abilene Chr_Maryland,0.1023832998
2019_Abilene Chr_Michigan,0.0390858435
2019_Abilene Chr_Michigan St,0.0363788412
2019_Abilene Chr_Minnesota,0.1289397031
2019_Abilene Chr_Mississippi,0.1716217805
2019_Abilene Chr_Mississippi ST,0.0990300436
2019_Abilene Chr_Montana,0.4242204488
2019_Abilene Chr_Murray St,0.3062520768
2019_Abilene Chr_N Dakota St,0.6566537548
2019_Abilene Chr_N Kentucky,0.3549679421
2019_Abilene Chr_NC Central,0.8692999574
2019_Abilene Chr_Nevada,0.1041305457
2019_Abilene Chr_New Mexico St,0.1878172891
2019_Abilene Chr_North Carolina,0.0404034514
2019_Abilene Chr_Northeastern,0.3612961486
2019_Abilene Chr_Ohio St,0.1471984348
2019_Abilene Chr_Oklahoma,0.1394915524
2019_Abilene Chr_Old Dominion,0.3068723147
2019_Abilene Chr_Oregon,0.156795045
2019_Abilene Chr_Prairie View,0.7073230695
2019_Abilene Chr_Purdue,0.0673113061
2019_Abilene Chr_Seton Hall,0.1789707842
2019_Abilene Chr_St John's,0.223211999
